Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Neutrophil degranulation(R),0.0362,393,25,3.14E-13,1.69E-10,"SLC11A1,SLPI,RAB5C,S100A12,DEFA4,VNN1,TCN1,LCN2,TNFAIP6,PYGL,HK3,CAMP,SERPINB1,ARG1,NFAM1,MMP9,CKAP4,CEACAM8,LTF,TLR2,CD59,MAPK14,LRG1,QPCT,PTX3"
Antimicrobial peptides(R),0.004,44,6,7.69E-06,2.06E-03,"SLC11A1,DEFA4,LCN2,CAMP,LTF,TLR2"
Toll-Like Receptors Cascades(R),0.013,141,9,1.85E-05,3.29E-03,"MEF2A,LY96,S100A12,PELI1,TLR10,TLR5,TLR2,MAPK3,MAPK14"
ATF-2 transcription factor network(N),0.0053,58,6,3.58E-05,4.80E-03,"SOCS3,GADD45A,ARG1,JDP2,MAPK3,MAPK14"
Signaling by Interleukins(R),0.0423,460,15,8.91E-05,9.54E-03,"IL1RN,IRS2,IL18RAP,IL1R1,IL1R2,CSF2RA,RASGRP4,SOCS3,LCN2,RASGEF1A,MMP9,PELI1,MAPK3,OSM,IL18R1"
Fructose and mannose metabolism(K),0.003,33,4,4.21E-04,0.0374,"PFKFB2,PFKFB4,PFKFB3,HK3"
IL4-mediated signaling events(N),0.0058,63,5,5.47E-04,0.04,"SPI1,IRS2,SOCS3,ARG1,MAPK14"
Amoebiasis(K),0.009,98,6,5.97E-04,0.04,"IL1R1,IL1R2,RAB5C,SERPINB1,ARG1,TLR2"
Signaling events regulated by Ret tyrosine kinase(N),0.0036,39,4,7.82E-04,0.0462,"IRS2,GRB10,PDLIM7,MAPK3"
TNF signaling pathway(K),0.0101,110,6,1.08E-03,0.0538,"SOCS3,BCL3,MMP9,MAPK3,MAPK14,IL18R1"
"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds(R)",0.004,43,4,1.12E-03,0.0538,"SLC11A1,SLC22A4,SLC40A1,SLC18A2"
Type II diabetes mellitus(K),0.0044,48,4,1.67E-03,0.0736,"IRS2,SOCS3,HK3,MAPK3"
Growth hormone receptor signaling(R),0.0022,24,3,2.10E-03,0.0863,"IRS2,SOCS3,MAPK3"
IL2-mediated signaling events(N),0.005,54,4,2.55E-03,0.097,"IRS2,SOCS3,MAPK3,MAPK14"
Metabolism of carbohydrates(R),0.0214,233,8,3.12E-03,0.1062,"G6PD,PGD,PFKFB2,PFKFB4,PFKFB3,PYGL,HK3,B4GALT5"
Insulin signaling pathway(K),0.0129,140,6,3.58E-03,0.1062,"IRS2,SOCS3,PYGL,HK3,FLOT1,MAPK3"
Hematopoietic cell lineage(K),0.0089,97,5,3.59E-03,0.1062,"IL1R1,IL1R2,CSF2RA,CD24,CD59"
Validated targets of C-MYC transcriptional repression(N),0.0055,60,4,3.71E-03,0.1062,"SPI1,SLC11A1,ZFP36L1,GADD45A"
IL12-mediated signaling events(N),0.0056,61,4,3.93E-03,0.1062,"IL18RAP,IL1R1,MAPK14,IL18R1"
regulation of map kinase pathways through dual specificity phosphatases(B),0.0008,9,2,4.08E-03,0.1062,"MAPK3,MAPK14"
toll-like receptor pathway(B),0.0029,32,3,4.70E-03,0.1143,"LY96,TLR2,MAPK3"
Inflammatory bowel disease (IBD)(K),0.006,65,4,4.91E-03,0.1143,"IL18RAP,TLR5,TLR2,IL18R1"
EPO signaling pathway(N),0.003,33,3,5.11E-03,0.1143,"IRS2,SOCS3,MAPK14"
Toll-like receptor signaling pathway(K),0.0098,106,5,5.19E-03,0.1143,"LY96,TLR5,TLR2,MAPK3,MAPK14"
IL1-mediated signaling events(N),0.0031,34,3,5.55E-03,0.1166,"IL1RN,IL1R1,IL1R2"
signal transduction through il1r(B),0.0032,35,3,6.01E-03,0.1202,"IL1RN,IL1R1,MAPK3"
Cytokine-cytokine receptor interaction(K),0.0244,265,8,6.66E-03,0.1259,"CXCL16,IL18RAP,IL1R1,IL1R2,CSF2RA,FLT1,OSM,IL18R1"
IL23-mediated signaling events(N),0.0034,37,3,6.99E-03,0.1259,"IL18RAP,SOCS3,IL18R1"
GMCSF-mediated signaling events(N),0.0034,37,3,6.99E-03,0.1259,"CSF2RA,MAPK3,OSM"
Advanced glycosylation endproduct receptor signaling(R),0.0012,13,2,8.29E-03,0.141,"S100A12,MAPK3"
RET signaling(R),0.0204,222,7,8.76E-03,0.1472,"IRS2,GRB10,CSF2RA,RASGRP4,RASGEF1A,PDLIM7,MAPK3"
Glucocorticoid receptor regulatory network(N),0.0072,78,4,9.20E-03,0.1472,"SPI1,FKBP5,MAPK3,MAPK14"
Atypical NF-kappaB pathway(N),0.0013,14,2,9.55E-03,0.1528,"BCL3,MAPK14"
atm signaling pathway(B),0.0014,15,2,0.0109,0.1634,"GADD45A,MAPK3"
Osteoclast differentiation(K),0.0121,132,5,0.0126,0.1788,"SPI1,IL1R1,SOCS3,MAPK3,MAPK14"
Salmonella infection(K),0.0079,86,4,0.0128,0.1788,"TLR5,WAS,MAPK3,MAPK14"
Post-translational modification: synthesis of GPI-anchored proteins(R),0.0081,88,4,0.0138,0.1795,"NTNG2,VNN1,VNN3,ALPL"
Syndecan-1-mediated signaling events(N),0.0016,17,2,0.0138,0.1795,"MMP9,MAPK3"
cell cycle: g2/m checkpoint(B),0.0016,17,2,0.0138,0.1795,"GADD45A,MAPK3"
Angiopoietin receptor Tie2-mediated signaling(N),0.0046,50,3,0.0157,0.2037,"BMX,MAPK3,MAPK14"
Mineral absorption(K),0.0048,52,3,0.0174,0.2211,"SLC8A1,SLC11A1,SLC40A1"
hypoxia and p53 in the cardiovascular system(B),0.0018,20,2,0.0187,0.2211,"GADD45A,MAPK3"
Pathogenic Escherichia coli infection(K),0.0051,55,3,0.0201,0.2211,"LY96,TLR5,WAS"
Signaling by Leptin(R),0.0192,209,6,0.0224,0.2211,"IRS2,CSF2RA,RASGRP4,SOCS3,RASGEF1A,MAPK3"
HIF-1 signaling pathway(K),0.0095,103,4,0.023,0.2211,"PFKFB3,FLT1,HK3,MAPK3"
Platelet homeostasis(R),0.0054,59,3,0.0241,0.2211,"SLC8A1,MRVI1,MAPK14"
nfkb activation by nontypeable hemophilus influenzae(B),0.0022,24,2,0.0263,0.2211,"TLR2,MAPK3"
Myogenesis(R),0.0022,24,2,0.0263,0.2211,"MEF2A,MAPK14"
VEGFR3 signaling in lymphatic endothelium(N),0.0023,25,2,0.0283,0.2211,"MAPK3,MAPK14"
S1P3 pathway(N),0.0023,25,2,0.0283,0.2211,"FLT1,MAPK3"
Endogenous TLR signaling(N),0.0023,25,2,0.0283,0.2211,"LY96,TLR2"
Signaling events mediated by VEGFR1 and VEGFR2(N),0.0058,63,3,0.0285,0.2211,"FLT1,MAPK3,MAPK14"
S1P2 pathway(N),0.0024,26,2,0.0304,0.2211,"MAPK3,MAPK14"
ionomycin and phorbal ester signaling pathway(B),0.0003,3,1,0.0307,0.2211,MAPK3
Reversible hydration of carbon dioxide(R),0.0003,3,1,0.0307,0.2211,CA4
Signaling by VEGF(R),0.0264,287,7,0.0307,0.2211,"IRS2,CSF2RA,RASGRP4,FLT1,RASGEF1A,MAPK3,MAPK14"
BCR signaling pathway(N),0.006,65,3,0.0308,0.2211,"BCL2A1,MAPK3,MAPK14"
Shigellosis(K),0.006,65,3,0.0308,0.2211,"WAS,MAPK3,MAPK14"
cGMP-PKG signaling pathway(K),0.0155,168,5,0.0315,0.2211,"IRS2,SLC8A1,MEF2A,MRVI1,MAPK3"
Oxidative Stress Induced Senescence(R),0.0061,66,3,0.032,0.2211,"PHC2,MAPK3,MAPK14"
Signaling by SCF-KIT(R),0.0267,290,7,0.0322,0.2211,"IRS2,GRB10,CSF2RA,RASGRP4,RASGEF1A,MMP9,MAPK3"
VEGFR1 specific signals(N),0.0025,27,2,0.0326,0.2211,"FLT1,MAPK3"
p38 MAPK signaling pathway(N),0.0025,27,2,0.0326,0.2211,"GADD45A,MAPK14"
Central carbon metabolism in cancer(K),0.0062,67,3,0.0333,0.2211,"G6PD,HK3,MAPK3"
NCAM signaling for neurite out-growth(R),0.0213,231,6,0.0341,0.2211,"IRS2,CSF2RA,RASGRP4,COL9A2,RASGEF1A,MAPK3"
Dorso-ventral axis formation(K),0.0026,28,2,0.0348,0.2211,"ETS2,MAPK3"
Toxoplasmosis(K),0.0109,118,4,0.0353,0.2211,"LY96,TLR2,MAPK3,MAPK14"
Osteopontin-mediated events(N),0.0027,29,2,0.0371,0.2211,"MMP9,MAPK3"
Adipocytokine signaling pathway(K),0.0064,70,3,0.0371,0.2211,"IRS2,ACSL1,SOCS3"
Surfactant metabolism(R),0.0028,30,2,0.0394,0.2211,"CSF2RA,CKAP4"
Pentose phosphate pathway(K),0.0028,30,2,0.0394,0.2211,"G6PD,PGD"
Retinoic acid receptors-mediated signaling(N),0.0028,30,2,0.0394,0.2211,"MAPK3,MAPK14"
IGF1 pathway(N),0.0028,30,2,0.0394,0.2211,"IRS2,GRB10"
Tuberculosis(K),0.0165,179,5,0.0396,0.2211,"RAB5C,CAMP,TLR2,MAPK3,MAPK14"
Prolactin signaling pathway(K),0.0066,72,3,0.0398,0.2211,"SOCS3,MAPK3,MAPK14"
Transcriptional misregulation in cancer(K),0.0166,180,5,0.0404,0.2211,"SPI1,IL1R2,FLT1,MMP9,BCL2A1"
phospholipase c signaling pathway(B),0.0004,4,1,0.0407,0.2211,MAPK3
AMPK signaling pathway(K),0.0114,124,4,0.0411,0.2211,"IRS2,PFKFB2,PFKFB4,PFKFB3"
Leishmaniasis(K),0.0067,73,3,0.0412,0.2211,"TLR2,MAPK3,MAPK14"
IL12 signaling mediated by STAT4(N),0.0029,31,2,0.0418,0.2211,"IL18RAP,IL18R1"
Oncogene Induced Senescence(R),0.0029,32,2,0.0443,0.2211,"ETS2,MAPK3"
Pertussis(K),0.007,76,3,0.0454,0.2211,"LY96,MAPK3,MAPK14"
Trk receptor signaling mediated by the MAPK pathway(N),0.003,33,2,0.0467,0.2211,"MAPK3,MAPK14"
Transmission across Electrical Synapses (R),0.0005,5,1,0.0507,0.2211,PANX2
"Neomycin, kanamycin and gentamicin biosynthesis(K)",0.0005,5,1,0.0507,0.2211,HK3
MAPK signaling pathway(K),0.0235,255,6,0.0508,0.2211,"IL1R1,IL1R2,RASGRP4,GADD45A,MAPK3,MAPK14"
FoxO signaling pathway(K),0.0123,134,4,0.0519,0.2211,"IRS2,GADD45A,MAPK3,MAPK14"
CXCR3-mediated signaling events(N),0.0032,35,2,0.0519,0.2211,"MAPK3,MAPK14"
Signaling mediated by p38-alpha and p38-beta(N),0.0032,35,2,0.0519,0.2211,"MEF2A,MAPK14"
Starch and sucrose metabolism(K),0.0033,36,2,0.0545,0.2211,"PYGL,HK3"
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(B),0.0033,36,2,0.0545,0.2211,"LY96,MAPK3"
EGF receptor signaling pathway(P),0.0075,82,3,0.0546,0.2211,"TGFA,MAPK3,MAPK14"
RAF/MAP kinase cascade(R),0.0185,201,5,0.0594,0.2211,"IRS2,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
Iron uptake and transport(R),0.0035,38,2,0.06,0.2211,"LCN2,SLC40A1"
stat3 signaling pathway(B),0.0006,6,1,0.0605,0.2211,MAPK3
apoptotic dna-fragmentation and tissue homeostasis(B),0.0006,6,1,0.0605,0.2211,HMGB2
cdc25 and chk1 regulatory pathway in response to dna damage(B),0.0006,6,1,0.0605,0.2211,MAPK3
Neurotransmitter Release Cycle(R),0.0037,40,2,0.0656,0.2211,"LIN7A,SLC18A2"
Oxidative stress response(P),0.0037,40,2,0.0656,0.2211,"MEF2A,MAPK14"
Bladder cancer(K),0.0038,41,2,0.0684,0.2211,"MMP9,MAPK3"
Signaling by Insulin receptor(R),0.0255,277,6,0.0698,0.2211,"IRS2,GRB10,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
deregulation of cdk5 in alzheimers disease(B),0.0006,7,1,0.0702,0.2211,MAPK3
Erythrocytes take up oxygen and release carbon dioxide(R),0.0006,7,1,0.0702,0.2211,CA4
Fc gamma R-mediated phagocytosis(K),0.0086,93,3,0.0736,0.2211,"WAS,MAPK3,MARCKS"
NF-kappa B signaling pathway(K),0.0087,95,3,0.0773,0.2211,"IL1R1,LY96,BCL2A1"
il-2 receptor beta chain in t cell activation(B),0.004,44,2,0.0773,0.2211,"SOCS3,MAPK3"
Rapid glucocorticoid signaling(N),0.0007,8,1,0.0798,0.2211,MAPK14
Erythrocytes take up carbon dioxide and release oxygen(R),0.0007,8,1,0.0798,0.2211,CA4
tsp-1 induced apoptosis in microvascular endothelial cell(B),0.0007,8,1,0.0798,0.2211,MAPK3
Endocrine resistance(K),0.009,98,3,0.083,0.2211,"MMP9,MAPK3,MAPK14"
FGF signaling pathway(N),0.0043,47,2,0.0865,0.2211,"MMP9,MAPK3"
IL6-mediated signaling events(N),0.0043,47,2,0.0865,0.2211,"SOCS3,MAPK14"
keratinocyte differentiation(B),0.0043,47,2,0.0865,0.2211,"ETS2,MAPK3"
Apoptotic execution phase(R),0.0043,47,2,0.0865,0.2211,"BMX,HMGB2"
Estrogen signaling pathway(K),0.0092,100,3,0.0869,0.2211,"FKBP5,MMP9,MAPK3"
Choline metabolism in cancer(K),0.0093,101,3,0.0889,0.2211,"SLC22A4,WAS,MAPK3"
regulation of splicing through sam68(B),0.0008,9,1,0.0894,0.2211,MAPK3
tnfr2 signaling pathway(B),0.0008,9,1,0.0894,0.2211,MAPK3
Ras signaling pathway(K),0.0211,229,5,0.0914,0.2211,"ETS2,RAB5C,RASGRP4,FLT1,MAPK3"
Chagas disease (American trypanosomiasis)(K),0.0096,104,3,0.095,0.2211,"TLR2,MAPK3,MAPK14"
Gastrin-CREB signalling pathway via PKC and MAPK(R),0.0346,376,7,0.0978,0.2211,"IRS2,PROK2,CSF2RA,RASGRP4,LTB4R,RASGEF1A,MAPK3"
DSCAM interactions(R),0.0009,10,1,0.0988,0.2211,MAPK14
effects of calcineurin in keratinocyte differentiation(B),0.0009,10,1,0.0988,0.2211,MARCKS
il22 soluble receptor signaling pathway(B),0.0009,10,1,0.0988,0.2211,SOCS3
VEGF and VEGFR signaling network(N),0.0009,10,1,0.0988,0.2211,FLT1
Th17 cell differentiation(K),0.0098,107,3,0.1012,0.2211,"IL1R1,MAPK3,MAPK14"
NOD-like receptor signaling pathway(K),0.0156,170,4,0.102,0.2211,"CAMP,MAPK3,CARD6,MAPK14"
Role of Calcineurin-dependent NFAT signaling in lymphocytes(N),0.0048,52,2,0.1024,0.2211,"MAPK3,MAPK14"
Signaling events mediated by Stem cell factor receptor (c-Kit)(N),0.0048,52,2,0.1024,0.2211,"GRB10,MAPK3"
Insulin resistance(K),0.01,109,3,0.1055,0.2211,"IRS2,SOCS3,PYGL"
mapkinase signaling pathway(B),0.0049,53,2,0.1057,0.2211,"MAPK3,MAPK14"
protein kinase a at the centrosome(B),0.001,11,1,0.1081,0.2211,MAPK3
rb tumor suppressor/checkpoint signaling in response to dna damage(B),0.001,11,1,0.1081,0.2211,MAPK3
Glutathione metabolism(K),0.005,54,2,0.109,0.2211,"G6PD,PGD"
Legionellosis(K),0.0051,55,2,0.1124,0.2211,"TLR5,TLR2"
Non-small cell lung cancer(K),0.0052,56,2,0.1158,0.2211,"TGFA,MAPK3"
Carbon metabolism(K),0.0105,114,3,0.1164,0.2211,"G6PD,PGD,HK3"
regulation of eif2(B),0.0011,12,1,0.1174,0.2211,MAPK3
granzyme a mediated apoptosis pathway(B),0.0011,12,1,0.1174,0.2211,HMGB2
trka receptor signaling pathway(B),0.0011,12,1,0.1174,0.2211,MAPK3
repression of pain sensation by the transcriptional regulator dream(B),0.0011,12,1,0.1174,0.2211,MAPK3
il-10 anti-inflammatory signaling pathway(B),0.0011,12,1,0.1174,0.2211,MAPK3
akap95 role in mitosis and chromosome dynamics(B),0.0011,12,1,0.1174,0.2211,MAPK3
role of ran in mitotic spindle regulation(B),0.0011,12,1,0.1174,0.2211,MAPK3
p53 signaling pathway(B),0.0011,12,1,0.1174,0.2211,GADD45A
Acute myeloid leukemia(K),0.0052,57,2,0.1192,0.2211,"SPI1,MAPK3"
ER to Golgi Anterograde Transport(R),0.0108,117,3,0.1232,0.2211,"TGFA,F5,CD59"
B cell activation(P),0.0054,59,2,0.126,0.2211,"MAPK3,MAPK14"
Alzheimer disease-amyloid secretase pathway(P),0.0054,59,2,0.126,0.2211,"MAPK3,MAPK14"
human cytomegalovirus and map kinase pathways(B),0.0012,13,1,0.1265,0.2211,MAPK3
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism(R),0.0012,13,1,0.1265,0.2211,ACSL1
extrinsic prothrombin activation pathway(B),0.0012,13,1,0.1265,0.2211,F5
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(B),0.0012,13,1,0.1265,0.2211,MAPK3
cadmium induces dna synthesis and proliferation in macrophages(B),0.0012,13,1,0.1265,0.2211,MAPK3
melanocyte development and pigmentation pathway(B),0.0012,13,1,0.1265,0.2211,MAPK3
Fatty acid biosynthesis(K),0.0012,13,1,0.1265,0.2211,ACSL1
il12 and stat4 dependent signaling pathway in th1 development(B),0.0012,13,1,0.1265,0.2211,MAPK3
b cell survival pathway(B),0.0012,13,1,0.1265,0.2211,MAPK3
multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation(B),0.0012,13,1,0.1265,0.2211,MAPK3
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)(R),0.0235,255,5,0.1276,0.2211,"IRS2,CSF2RA,RASGRP4,RASGEF1A,MAPK3"
Signaling by PDGF(R),0.0302,328,6,0.1277,0.2211,"IRS2,CSF2RA,RASGRP4,COL9A2,RASGEF1A,MAPK3"
