Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Neutrophil degranulation(R),0.0362,393,20,3.28E-09,1.36E-06,"FCN1,CLEC5A,SLC11A1,CLEC4D,ADAM8,LYZ,ARHGAP9,SERPINA1,ITGB2,TCIRG1,SLC2A5,ITGAL,SIRPB1,ITGAX,KCNAB2,MMP9,CHI3L1,TLR2,LILRA3,ALOX5"
Signaling by Interleukins(R),0.0423,460,16,1.88E-05,3.89E-03,"IL1RN,IGHG1,FN1,IL7R,ITGB2,ITGAX,JAK3,CCR2,MMP9,IL17RA,CCL11,IL2RG,ALOX5,CCL19,IL12RB1,PTPN11"
Cell surface interactions at the vascular wall(R),0.0191,208,10,5.86E-05,8.09E-03,"CD84,SLC16A3,FN1,IGHM,ITGB2,ITGAL,ITGAX,IGLC1,IGKC,PTPN11"
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell(R),0.0172,187,9,1.38E-04,0.0142,"TRAC,TRBC1,SLAMF7,SLAMF6,SH2D1A,ITGB2,ITGAL,IGLC1,IGKC"
IL2 signaling events mediated by STAT5(N),0.0026,28,4,2.12E-04,0.0176,"FOXP3,JAK3,IL2RG,PTPN11"
Signal regulatory protein (SIRP) family interactions(R),0.0011,12,3,2.73E-04,0.0188,"SIRPB1,FYB,PTPN11"
Cytokine-cytokine receptor interaction(K),0.0244,265,10,4.08E-04,0.0241,"IL7R,CCR2,IL17RA,LTB,CCL11,CXCR4,IL2RG,IL21R,CCL19,IL12RB1"
IL4-mediated signaling events(N),0.0058,63,5,5.04E-04,0.0247,"IGHG1,HMGA1,JAK3,CCL11,IL2RG"
Inflammatory bowel disease (IBD)(K),0.006,65,5,5.80E-04,0.0247,"FOXP3,TLR2,IL2RG,IL21R,IL12RB1"
Primary immunodeficiency(K),0.0034,37,4,6.02E-04,0.0247,"IL7R,CIITA,JAK3,IL2RG"
Antimicrobial peptides(R),0.004,44,4,1.14E-03,0.0422,"SLC11A1,LYZ,CCR2,TLR2"
Extracellular matrix organization(R),0.0235,255,9,1.27E-03,0.0432,"DMP1,COMP,ADAM8,FN1,ITGB2,ITGAL,ITGAX,MMP9,SPP1"
FGF signaling pathway(N),0.0043,47,4,1.45E-03,0.045,"RPS6KA1,MMP9,SPP1,PTPN11"
GPVI-mediated activation cascade(R),0.0045,49,4,1.69E-03,0.0456,"JAK3,IL2RG,PDPN,PTPN11"
Malaria(K),0.0045,49,4,1.69E-03,0.0456,"COMP,ITGB2,ITGAL,TLR2"
Alpha9 beta1 integrin signaling events(N),0.0022,24,3,2.00E-03,0.05,"ADAM8,FN1,SPP1"
Rheumatoid arthritis(K),0.0083,90,5,2.42E-03,0.0579,"ITGB2,TCIRG1,ITGAL,LTB,TLR2"
Tuberculosis(K),0.0165,179,7,2.52E-03,0.0579,"CLEC7A,VDR,CIITA,ITGB2,TCIRG1,ITGAX,TLR2"
Measles(K),0.0125,136,6,2.84E-03,0.0597,"SLAMF1,SH2D1A,JAK3,IKBKE,TLR2,IL2RG"
brca1 dependent ub ligase activity(B),0.0007,8,2,3.14E-03,0.061,"FANCD2,FANCA"
Platelet homeostasis(R),0.0054,59,4,3.28E-03,0.061,"SLC8A1,ITPR1,ATP2A3,PTPN11"
Toll-Like Receptors Cascades(R),0.013,141,6,3.39E-03,0.061,"RPS6KA1,ITGB2,IKBKE,TLR8,TLR2,PTPN11"
Beta2 integrin cell surface interactions(N),0.0027,29,3,3.40E-03,0.0612,"ITGB2,ITGAL,ITGAX"
Syndecan-4-mediated signaling events(N),0.0029,32,3,4.47E-03,0.0752,"FN1,MMP9,CXCR4"
Alpha4 beta1 integrin signaling events(N),0.003,33,3,4.87E-03,0.0752,"FN1,ADAM28,SPP1"
Th17 cell differentiation(K),0.0098,107,5,5.01E-03,0.0752,"FOXP3,JAK3,IL2RG,IL21R,IL12RB1"
