Gene Set,Ratio of Protein In Gene Set,Number of Protein in Gene Set,Protein From Network,P-value,FDR,Nodes
Neutrophil degranulation(R),0.0362,393,52,1.11E-16,5.58E-14,"GMFG,C3AR1,SLC11A1,FPR1,FPR2,S100A12,CD14,SIGLEC9,SERPINA1,HBB,MMP25,TIMP2,OLR1,CD53,FCER1G,MME,TLR2,CXCR1,ALOX5,CXCR2,LILRB2,LILRB3,QPCT,SIGLEC5,PLAU,COTL1,CD93,CD300A,CLEC4D,TYROBP,ADAM8,S100A9,S100A8,C5AR1,HSPA6,PTPRC,SELL,ITGAM,TNFAIP6,ITGB2,LRMP,FCAR,ITGAX,CR1,PLAUR,TNFRSF1B,MMP9,FGR,CHI3L1,DOCK2,FCGR2A,MNDA"
Osteoclast differentiation(K),0.0121,132,19,6.19E-12,1.55E-09,"SPI1,JUNB,PIK3R5,FOS,IL1B,LILRA1,LILRA2,LILRA5,LILRB2,LILRB3,FOSB,NCF2,NCF4,TYROBP,SOCS3,FCGR3A,LCP2,FCGR2A,FCGR2B"
Leishmaniasis(K),0.0067,73,13,1.22E-09,2.04E-07,"PRKCB,FOS,IL1B,TLR4,TLR2,PTGS2,NCF2,NCF4,ITGAM,ITGB2,FCGR3A,CR1,FCGR2A"
Keratinization(R),0.0099,108,15,1.80E-09,2.25E-07,"SPRR2E,SPRR2A,SPRR2B,SPRR2D,SPRR1A,SPRR1B,SPRR3,KRT13,KRT17,KRT16,KRT14,KRT6B,KRT6A,DSC2,DSG3"
Beta2 integrin cell surface interactions(N),0.0027,29,9,4.28E-09,4.28E-07,"ICAM3,PLAT,PLAU,TGFBI,ITGAM,ITGB2,ITGAX,PLAUR,FCGR2A"
Staphylococcus aureus infection(K),0.0052,56,11,8.77E-09,7.28E-07,"C3AR1,FPR1,FPR2,SELPLG,C5AR1,ITGAM,ITGB2,FCAR,FCGR3A,FCGR2A,FCGR2B"
Phagosome(K),0.0142,154,16,2.88E-08,2.05E-06,"CD14,OLR1,TLR4,TLR2,NCF2,NCF4,CORO1A,CLEC7A,ITGAM,ITGB2,FCAR,FCGR3A,ITGA5,THBS1,FCGR2A,FCGR2B"
Tuberculosis(K),0.0165,179,17,3.79E-08,2.35E-06,"CD14,PLK3,FCER1G,IL1B,TLR4,TLR2,IL10RA,CLEC4E,CORO1A,CLEC7A,ITGAM,ITGB2,FCGR3A,ITGAX,CR1,FCGR2A,FCGR2B"
Signaling by Interleukins(R),0.0423,460,27,8.24E-08,4.53E-06,"IL1RN,IL36A,JUNB,IL1R2,EREG,FPR1,FN1,IL36G,FOS,IL1B,HBEGF,PTGS2,ALOX5,IL10RA,OSM,CSF3R,IL18RAP,CSF2RB,RASGRP4,SOCS3,ITGAM,ITGB2,ITGAX,TNFRSF1B,MMP9,CCL4,CCL3"
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling(N),0.0039,42,9,9.81E-08,4.91E-06,"FPR1,FPR2,FN1,PLAU,ITGAM,ITGB2,PLAUR,MMP9,ITGA5"
Complement and coagulation cascades(K),0.0073,79,11,2.70E-07,1.22E-05,"C3AR1,SERPINA1,PLAT,PLAU,C5AR1,ITGAM,ITGB2,THBD,ITGAX,CR1,PLAUR"
